Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
192922,IX - Zasmboanga Peninsula,114258,Male,56,Single Family,3,32,28,2,1
161843,IX - Zasmboanga Peninsula,78176,Male,66,Extended Family,6,24,6,0,1
535899,IX - Zasmboanga Peninsula,92464,Male,46,Single Family,4,12,3,1,1
312579,IX - Zasmboanga Peninsula,133445,Male,46,Extended Family,14,49,21,3,1
154715,IX - Zasmboanga Peninsula,39580,Male,46,Single Family,3,32,1,2,1
107244,IX - Zasmboanga Peninsula,58182,Male,40,Single Family,6,20,2,0,1
141249,IX - Zasmboanga Peninsula,47960,Female,57,Single Family,3,35,39,2,1
113946,IX - Zasmboanga Peninsula,53999,Female,61,Extended Family,5,12,4,1,1
115508,IX - Zasmboanga Peninsula,42241,Male,45,Extended Family,8,12,4,1,1
153087,IX - Zasmboanga Peninsula,54140,Male,32,Single Family,5,11,5,1,1
63114,IX - Zasmboanga Peninsula,15366,Female,66,Single Family,1,39,46,3,1
121160,IX - Zasmboanga Peninsula,61945,Male,42,Extended Family,6,14,15,1,1
108579,IX - Zasmboanga Peninsula,31182,Female,64,Extended Family,4,29,7,1,1
287625,IX - Zasmboanga Peninsula,84749,Female,41,Single Family,4,100,5,0,1
52408,IX - Zasmboanga Peninsula,22568,Female,70,Single Family,1,29,15,2,0
87009,IX - Zasmboanga Peninsula,26525,Female,57,Extended Family,4,29,30,3,1
235397,IX - Zasmboanga Peninsula,173922,Male,56,Extended Family,7,39,0,2,1
212925,IX - Zasmboanga Peninsula,59873,Male,37,Extended Family,3,72,16,3,1
232450,IX - Zasmboanga Peninsula,125376,Male,46,Single Family,6,65,8,2,1
86795,IX - Zasmboanga Peninsula,31678,Male,57,Extended Family,8,35,7,2,1
80332,IX - Zasmboanga Peninsula,40393,Male,45,Single Family,4,36,17,1,0
274352,IX - Zasmboanga Peninsula,97047,Female,42,Extended Family,8,68,18,1,1
668708,IX - Zasmboanga Peninsula,95538,Male,41,Extended Family,6,52,17,1,1
357968,IX - Zasmboanga Peninsula,85946,Male,66,Single Family,4,72,10,2,1
518867,IX - Zasmboanga Peninsula,130485,Male,43,Extended Family,5,39,2,2,1
386108,IX - Zasmboanga Peninsula,94920,Male,45,Single Family,6,30,17,2,1
188194,IX - Zasmboanga Peninsula,45660,Male,59,Extended Family,5,18,14,1,1
143185,IX - Zasmboanga Peninsula,61400,Male,35,Single Family,4,43,17,3,1
395887,IX - Zasmboanga Peninsula,79501,Female,51,Single Family,4,92,23,3,1
366304,IX - Zasmboanga Peninsula,102882,Male,77,Single Family,3,140,18,5,1
427451,IX - Zasmboanga Peninsula,110702,Male,74,Extended Family,7,48,2,1,1
80063,IX - Zasmboanga Peninsula,35382,Female,73,Extended Family,3,36,17,1,0
245005,IX - Zasmboanga Peninsula,86809,Male,43,Single Family,3,61,3,2,1
554069,IX - Zasmboanga Peninsula,177913,Male,56,Extended Family,13,94,3,4,1
147574,IX - Zasmboanga Peninsula,70768,Female,77,Extended Family,6,17,9,2,1
181397,IX - Zasmboanga Peninsula,86607,Male,53,Extended Family,9,50,12,3,1
131210,IX - Zasmboanga Peninsula,67702,Male,44,Single Family,7,110,25,4,1
119854,IX - Zasmboanga Peninsula,36074,Male,50,Single Family,2,30,8,1,1
215070,IX - Zasmboanga Peninsula,78726,Male,43,Single Family,4,35,12,2,1
190820,IX - Zasmboanga Peninsula,79691,Male,75,Extended Family,4,74,19,1,1
120406,IX - Zasmboanga Peninsula,68513,Male,39,Single Family,5,15,15,0,1
226571,IX - Zasmboanga Peninsula,116875,Female,50,Extended Family,12,48,2,1,1
135637,IX - Zasmboanga Peninsula,71862,Female,61,Single Family,6,96,10,2,1
129379,IX - Zasmboanga Peninsula,50310,Male,48,Extended Family,3,80,3,2,1
446055,IX - Zasmboanga Peninsula,125344,Male,60,Extended Family,8,86,19,3,1
129437,IX - Zasmboanga Peninsula,64561,Male,33,Single Family,5,29,1,0,1
209712,IX - Zasmboanga Peninsula,89473,Female,33,Extended Family,7,100,14,3,1
